coefficients|estimate_2013|z_2013|estimate_2014|z_2014|estimate_2015|z_2015|estimate_2016|z_2016|estimate_2017|z_2017
(Intercept)|-0,495601378061476|TRUE|-0,0723069631035888|FALSE|-0,510925684482009|FALSE|-0,130228140327556|FALSE|-0,785671241187367|TRUE
age|-0,0756215163267942|TRUE|-0,0893174198519945|TRUE|-0,0761959727315518|TRUE|-0,0611671848719933|TRUE|-0,075638552299485|TRUE
age_squared|0,000744171063673216|TRUE|0,000873077247507957|TRUE|0,000702285842576875|TRUE|0,000556067076826014|TRUE|0,000727352256042759|TRUE
bought_cheaper_productsYes|-0,133783834629821|TRUE|-0,0723751174382798|FALSE|-0,158878935923844|TRUE|-0,194656617380649|TRUE|-0,118805147218628|TRUE
concern_clothingImportant|0,0135149887939123|FALSE|0,133520095622132|TRUE|0,0238225427365323|FALSE|0,00687766622421372|FALSE|-0,0721638019575638|FALSE
concern_clothingSomewhat Important|-0,0613710152922461|TRUE|-0,12844950073621|FALSE|-0,174298986461539|TRUE|-0,121307324735117|FALSE|-0,089819485125206|FALSE
education_levelPrimary Education|-0,289887327204285|TRUE|-0,249887552390898|TRUE|-0,247162582846883|TRUE|-0,257997710990898|TRUE|-0,350926780710614|TRUE
education_levelSecondary Education|-0,275906574699266|TRUE|-0,295772125920958|TRUE|-0,347106124070051|TRUE|-0,459876647462194|TRUE|-0,424481593450181|TRUE
education_levelTertiary Education|-0,191500306392723|TRUE|0,0517342453391223|FALSE|-0,215827860203718|FALSE|-0,364683406472392|TRUE|-0,40431009795136|TRUE
education_satisfactionNot Satisfied from Education|-0,112470174705344|TRUE|0,009687097817747|FALSE|-0,00366143477208207|FALSE|-0,0425261047636511|FALSE|-0,0605762851964391|FALSE
education_satisfactionNot Satisfied from Education At All|-0,043388571983439|FALSE|0,0178506942394236|FALSE|-0,0543371951651384|FALSE|0,0393721981101467|FALSE|-0,0412072314802878|FALSE
education_satisfactionSatisfied from Education|0,0802055139162482|TRUE|0,141916409430379|FALSE|0,14244821044618|FALSE|0,178222484549194|TRUE|0,0815647690444711|FALSE
education_satisfactionVery Satisfied from Education|0,117703397054622|TRUE|0,115637996535052|FALSE|0,536455716091165|TRUE|0,55321207301974|TRUE|0,436205054862287|TRUE
employment_job_satisfactionHappily Employed|0,0284080720435822|FALSE|-0,143896471190496|FALSE|0,132099198176314|FALSE|-0,0511249114237618|FALSE|0,118197349753946|FALSE
employment_job_satisfactionNeutral Employed|-0,121075756029613|TRUE|-0,435620059723914|TRUE|-0,0798735968710412|FALSE|-0,407933492492583|TRUE|-0,175239468924739|FALSE
employment_job_satisfactionUnemployed|-0,296404780233903|TRUE|-0,17333096960891|FALSE|-0,377271335123387|TRUE|-0,557207807066652|TRUE|-0,416960337520341|TRUE
employment_job_satisfactionUnhappily Employed|-0,274308667188719|TRUE|-0,352151036481034|TRUE|0,0267607190350545|FALSE|-0,551325509041797|TRUE|-0,281605817410665|FALSE
expectation_5y_laterBetter then Now|0,0980666378006336|TRUE|-0,0197403243647569|FALSE|0,242124909670211|TRUE|0,19364019832366|FALSE|0,211235604960784|TRUE
expectation_5y_laterSame as Now|0,0499645938706515|TRUE|-0,12605222874548|FALSE|0,027071330606008|FALSE|0,016769092513059|FALSE|0,0415227982648612|FALSE
expectation_5y_laterWorse then Now|-0,0915139575302793|TRUE|-0,295630673442814|TRUE|0,0115196388178173|FALSE|0,0246699349943241|FALSE|-0,17870371427604|FALSE
extended_family_satisfactionNot Satisfied from Extended Family|-0,11486140399195|TRUE|0,0385969454684093|FALSE|0,00478714947505432|FALSE|0,132790289323078|FALSE|-0,0703483700342817|FALSE
extended_family_satisfactionNot Satisfied from Extended Family At All|-0,11899183826357|FALSE|0,396435174834541|FALSE|-0,58186150463656|FALSE|-0,447879692617316|FALSE|-0,125831785270423|FALSE
extended_family_satisfactionSatisfied from Extended Family|0,212011422661701|TRUE|0,174954769379391|FALSE|0,187048598319959|FALSE|0,308847311104387|TRUE|0,344402818075475|TRUE
extended_family_satisfactionVery Satisfied from Extended Family|0,312025786373038|TRUE|0,264842319538493|FALSE|0,202744104515076|FALSE|0,19649541195322|FALSE|0,267923627417068|FALSE
faced_social_pressureYes|-0,184113547561688|TRUE|-0,183441636993841|TRUE|-0,293536934906651|TRUE|-0,155394575081896|TRUE|-0,130184335259374|FALSE
friends_satisfactionNot Satisfied from Friends|0,0603559660446202|FALSE|0,0190891568850475|FALSE|-0,421878415665741|TRUE|-0,237699836074938|FALSE|0,182240134105816|FALSE
friends_satisfactionNot Satisfied from Friends At All|-0,0104743619342667|FALSE|0,439180793810212|FALSE|-0,307204780075683|FALSE|0,577862825486471|FALSE|-0,662359917664368|FALSE
friends_satisfactionSatisfied from Friends|0,197907868351295|TRUE|0,0282906868800986|FALSE|0,174945396839664|FALSE|0,120964177941811|FALSE|0,0698896296075508|FALSE
