employment_job_satisfaction|pressure_income_level|V1
Out of Labour Force|No Pressure|0,650137517284109
Out of Labour Force|Felt Pressure|0,536946812829882
Happily Employed|No Pressure|0,669860109535358
Happily Employed|Felt Pressure|0,593026796589525
Neutral Employed|No Pressure|0,590413433235216
Neutral Employed|Felt Pressure|0,511682242990654
Unemployed|No Pressure|0,56725446781591
Unemployed|Felt Pressure|0,457446808510638
Unhappily Employed|No Pressure|0,507440108668807
Unhappily Employed|Felt Pressure|0,439130434782609
