coefficients|estimate_2013|z_2013|estimate_2014|z_2014|estimate_2015|z_2015|estimate_2016|z_2016|estimate_2017|z_2017
(Intercept)|-0,383884290434199|TRUE|-0,0109018999433785|FALSE|-0,475683238876779|FALSE|-0,0343101090263979|FALSE|-0,77266808751953|TRUE
age|-0,0776625207178875|TRUE|-0,0914209974233973|TRUE|-0,0783904619057002|TRUE|-0,0652840195591378|TRUE|-0,0771836081041994|TRUE
age_squared|0,000767509631406747|TRUE|0,000897334882905638|TRUE|0,000731817985410961|TRUE|0,000597608588052083|TRUE|0,000744919814934611|TRUE
education_levelPrimary Education|-0,294891655284112|TRUE|-0,245701275595383|FALSE|-0,260727092011162|TRUE|-0,271236931429611|TRUE|-0,358271191213001|TRUE
education_levelSecondary Education|-0,282379153658828|TRUE|-0,290260224924206|TRUE|-0,361356914071921|TRUE|-0,473326554740358|TRUE|-0,436641439172314|TRUE
education_levelTertiary Education|-0,196090570211347|TRUE|0,0626657750229653|FALSE|-0,234336144000507|FALSE|-0,376578864813964|TRUE|-0,412261817273721|TRUE
education_satisfactionNot Satisfied from Education|-0,106654684977338|TRUE|0,0169871990039578|FALSE|-0,00575239473662442|FALSE|-0,0285340740023308|FALSE|-0,0559212222771987|FALSE
education_satisfactionNot Satisfied from Education At All|-0,0379986754233778|FALSE|0,037650864069946|FALSE|-0,058892485801139|FALSE|0,0674799098891891|FALSE|-0,0415906679086597|FALSE
education_satisfactionSatisfied from Education|0,0820504057940602|TRUE|0,141348047030947|FALSE|0,135400161934978|FALSE|0,187446222873421|TRUE|0,0819319710165362|FALSE
education_satisfactionVery Satisfied from Education|0,121438591268791|TRUE|0,094693504610859|FALSE|0,532143273320526|TRUE|0,565461458788152|TRUE|0,418526358131898|TRUE
employment_job_satisfactionHappily Employed|0,0204496159172607|FALSE|-0,144292254041348|FALSE|0,110345576170207|FALSE|-0,0735074293633209|FALSE|0,101109602767907|FALSE
employment_job_satisfactionNeutral Employed|-0,132835572636233|TRUE|-0,453293638903672|TRUE|-0,0990217181445521|FALSE|-0,44318438930763|TRUE|-0,196412494064317|FALSE
employment_job_satisfactionUnemployed|-0,289711039339985|TRUE|-0,15869714865314|FALSE|-0,385518858325546|TRUE|-0,538015932107193|TRUE|-0,411708098585723|TRUE
employment_job_satisfactionUnhappily Employed|-0,286384843842176|TRUE|-0,342416571905132|TRUE|0,00945637715696843|FALSE|-0,581841717044005|TRUE|-0,302727418231651|TRUE
expectation_5y_laterBetter then Now|0,167060202205166|TRUE|0,0746827146066595|FALSE|0,255758115754501|TRUE|0,272330086976974|TRUE|0,253288820227821|TRUE
expectation_5y_laterSame as Now|0,0499573831191957|TRUE|-0,126916924961904|FALSE|0,0302621281207123|FALSE|0,00282960155420261|FALSE|0,0432369162289198|FALSE
