Regression,Ologit Group,Variable (concept),Raw survey variable,Reference question (latest available wording),2013 column,2013 answers,2014 column,2014 answers,2015 column,2015 answers,2016 column,2016 answers,2017 column,2017 answers
Main,weight,survey_weight,FAKTOR_FERT,Fert tahmini için örnekleme tarafından hesaplanan ağırlık değeri,ff,,ff,,FAKTOR_FERT,,FAKTOR_FERT,,FAKTOR_FERT,
Main,happiness,happiness_ordered,MUTLULUK,B9 Yaşamınızı bir bütün olarak düşündüğünüzde ne kadar mutlusunuz?,b9,1 Çok mutlu; 2 Mutlu; 3 Orta; 4 Mutsuz; 5 Çok mutsuz,b9,1 Çok mutlu; 2 Mutlu; 3 Orta; 4 Mutsuz; 5 Çok mutsuz,MUTLULUK,1 Çok mutlu; 2 Mutlu; 3 Orta; 4 Mutsuz; 5 Çok mutsuz,MUTLULUK,1 Çok mutlu; 2 Mutlu; 3 Orta; 4 Mutsuz; 5 Çok mutsuz,MUTLULUK,1 Çok mutlu; 2 Mutlu; 3 Orta; 4 Mutsuz; 5 Çok mutsuz
Main,happiness,happiness_binary,MUTLULUK,B9 Yaşamınızı bir bütün olarak düşündüğünüzde ne kadar mutlusunuz?,b9,1 Çok mutlu; 2 Mutlu; 3 Orta; 4 Mutsuz; 5 Çok mutsuz,b9,1 Çok mutlu; 2 Mutlu; 3 Orta; 4 Mutsuz; 5 Çok mutsuz,MUTLULUK,1 Çok mutlu; 2 Mutlu; 3 Orta; 4 Mutsuz; 5 Çok mutsuz,MUTLULUK,1 Çok mutlu; 2 Mutlu; 3 Orta; 4 Mutsuz; 5 Çok mutsuz,MUTLULUK,1 Çok mutlu; 2 Mutlu; 3 Orta; 4 Mutsuz; 5 Çok mutsuz
Main,demographics,gender,CINSIYET,Görüşülen kişinin cinsiyeti,cins,1 Erkek; 2 Kadın,cins,1 Erkek; 2 Kadın,CINSIYET,1 Erkek; 2 Kadın,CINSIYET,1 Erkek; 2 Kadın,CINSIYET,1 Erkek; 2 Kadın
Main,demographics,age,BITIRILEN_YAS,Ferdin bitirdiği yaş,yas,,yas,,BITIRILEN_YAS,,BITIRILEN_YAS,,BITIRILEN_YAS,
Main,demographics,age_squared,BITIRILEN_YAS,Ferdin bitirdiği yaş,yas,,yas,,BITIRILEN_YAS,,BITIRILEN_YAS,,BITIRILEN_YAS,
Main,demographics,household_size,HH_BUYUKLUK,Hanehalkı büyüklüğü(Hanehalkı fert listesinde yer alanların tamamı),hhb,,hhb,,HH_BUYUKLUK,,HH_BUYUKLUK,,HH_BUYUKLUK,
Main,marital status,marital_status,MEDENI_DURUM,B1 Medeni durumunuz nedir?,b1,1 Hiç evlenmedi; 2 Evli; 3 Boşandı; 4 Eşi öldü,b1,1 Hiç evlenmedi; 2 Evli; 3 Boşandı; 4 Eşi öldü,MEDENI_DURUM,1 Hiç evlenmedi; 2 Evli; 3 Boşandı; 4 Eşi öldü,MEDENI_DURUM,1 Hiç evlenmedi; 2 Evli; 3 Boşandı; 4 Eşi öldü,MEDENI_DURUM,1 Hiç evlenmedi; 2 Evli; 3 Boşandı; 4 Eşi öldü
Main,marital status,marriage_satisfaction,OLCEK_MEMNUNIYET_EVLILIK,B12.2 Evliliğinizden memnun musunuz?,b12_2,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,b12_2,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,OLCEK_MEMNUNIYET_EVLILIK,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,OLCEK_MEMNUNIYET_EVLILIK,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,OLCEK_MEMNUNIYET_EVLILIK,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil
Main,education,education_level,OKUL_BITEN,B2 En son hangi okulu bitirdiniz?,b2,0 Bir okul bitirmedi; 1 İlkokul; 4 2 veya 3 yıllık yüksekokul; 5 4 yıllık yüksekokul veya fakülte; 6 Yüksek lisans/doktora(5 veya 6 yıllık fakülteler dahil); 21 Genel ortaokul; 22 Mesleki veya teknik ortaokul; 23 İlköğretim; 31 Genel lise; 32 Mesleki veya teknik lise,b2,0 Bir okul bitirmedi; 1 İlkokul; 4 2 veya 3 yıllık yüksekokul; 5 4 yıllık yüksekokul veya fakülte; 6 Yüksek lisans/doktora(5 veya 6 yıllık fakülteler dahil); 21 Genel ortaokul; 22 Mesleki veya teknik ortaokul; 23 İlköğretim; 31 Genel lise; 32 Mesleki veya teknik lise,OKUL_BITEN,0 Bir okul bitirmedi; 1 İlkokul; 21 Genel ortaokul; 22 Mesleki veya teknik ortaokul; 23 İlköğretim; 31 Genel lise; 32 Mesleki veya teknik lise; 4 2 veya 3 yıllık yüksekokul; 5 4 yıllık yüksekokul veya fakülte; 6 Yüksek lisans/doktora(5 veya 6 yıllık fakülteler dahil); 7 Doktora,OKUL_BITEN,0 Bir okul bitirmedi; 1 İlkokul; 21 Genel ortaokul; 22 Mesleki veya teknik ortaokul; 23 İlköğretim; 31 Genel lise; 32 Mesleki veya teknik lise; 4 2 veya 3 yıllık yüksekokul; 5 4 yıllık yüksekokul veya fakülte; 6 Yüksek lisans (5 veya 6 yıllık fakülteler dahil); 7 Doktora,OKUL_BITEN,1 Bir okul bitirmedi; 2 İlkokul; 31 Genel ortaokul; 32 Mesleki veya teknik ortaokul; 33 İlköğretim; 41 Genel lise; 42 Mesleki veya teknik lise; 511 2 veya 3 yıllık yüksekokul; 512 4 yıllık yüksekokul veya fakülte; 52 Yüksek lisans (5 veya 6 yıllık fakülteler dahil); 53 Doktora
