GNH Domain,GNH Sub-domain,Variable (concept),Raw survey variable,Reference question (latest available wording),2013 column,2013 answers,2014 column,2014 answers,2015 column,2015 answers,2016 column,2016 answers,2017 column,2017 answers
Psychological Wellbeing,life_evaluation,happiness_overall,MUTLULUK,B9 Yaşamınızı bir bütün olarak düşündüğünüzde ne kadar mutlusunuz?,b9,1 Çok mutlu; 2 Mutlu; 3 Orta; 4 Mutsuz; 5 Çok mutsuz,b9,1 Çok mutlu; 2 Mutlu; 3 Orta; 4 Mutsuz; 5 Çok mutsuz,MUTLULUK,1 Çok mutlu; 2 Mutlu; 3 Orta; 4 Mutsuz; 5 Çok mutsuz,MUTLULUK,1 Çok mutlu; 2 Mutlu; 3 Orta; 4 Mutsuz; 5 Çok mutsuz,MUTLULUK,1 Çok mutlu; 2 Mutlu; 3 Orta; 4 Mutsuz; 5 Çok mutsuz
Psychological Wellbeing,life_evaluation,hope_for_own_future,UMUT,B40 Kendi geleceğinizden ne kadar umutlusunuz?,b40,1 Çok umutlu; 2 Umutlu; 3 Umutlu değil; 4 Hiç umutlu değil,b40,1 Çok umutlu; 2 Umutlu; 3 Umutlu değil; 4 Hiç umutlu değil,UMUT,1 Çok umutlu; 2 Umutlu; 3 Umutlu değil; 4 Hiç umutlu değil,UMUT,1 Çok umutlu; 2 Umutlu; 3 Umutlu değil; 4 Hiç umutlu değil,UMUT,1 Çok umutlu; 2 Umutlu; 3 Umutlu değil; 4 Hiç umutlu değil
Health,healthcare_service_facing_issues,appointment_booking_problem,SORUN_MUAYNE,"B30.1 Sağlık hizmeti aldığınız kuruluşlarla ilgili, muayene ve/veya tahlil için randevu almakta sorun yaşıyor musunuz?",b30_1,1 Evet; 2 Hayır; 3 Fikrim yok,b30_1,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_MUAYNE,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_MUAYNE,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_MUAYNE,1 Evet; 2 Hayır; 3 Fikri yok
Health,healthcare_service_facing_issues,copayment_cost_problem,SORUN_KATKIPAY,"B30.10 Sağlık hizmeti aldığınız kuruluşlarla ilgili, muayene için katkı payı ücreti ödemeyi sorun olarak görüyor musunuz?",b30_10,1 Evet; 2 Hayır; 3 Fikrim yok,b30_10,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_KATKIPAY,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_KATKIPAY,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_KATKIPAY,1 Evet; 2 Hayır; 3 Fikri yok
Health,healthcare_service_facing_issues,doctor_attitude_problem,SORUN_DOKTOR,"B30.4 Sağlık hizmeti aldığınız kuruluşlarla ilgili, doktorların hastalara davranışında sorun var mı?",b30_4,1 Evet; 2 Hayır; 3 Fikrim yok,b30_4,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_DOKTOR,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_DOKTOR,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_DOKTOR,1 Evet; 2 Hayır; 3 Fikri yok
Health,healthcare_service_facing_issues,examination_fee_problem,SORUN_UCRET_MUAYENE,"B30.7 Sağlık hizmeti aldığınız kuruluşlarla ilgili, muayene ve tahlil ücretlerini yüksek buluyor musunuz?",b30_7,1 Evet; 2 Hayır; 3 Fikrim yok,b30_7,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_UCRET_MUAYENE,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_UCRET_MUAYENE,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_UCRET_MUAYENE,1 Evet; 2 Hayır; 3 Fikri yok
Health,healthcare_service_facing_issues,health_expense_reimbursement_problem,SORUN_SAGLIK_HARCAMA,"B22.2 Bağlı bulunduğunuz sosyal güvenlik kuruluşu vasıtasıyla aldığınız hizmetlerden, sağlık harcamalarının geri ödenmesi ile ilgili işlemlerde sorun yaşıyor musunuz?",b22_2,1 Evet; 2 Hayır; 3 Fikri yok,b22_1,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_SAGLIK_HARCAMA,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_SAGLIK_HARCAMA,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_SAGLIK_HARCAMA,1 Evet; 2 Hayır; 3 Fikri yok
Health,healthcare_service_facing_issues,health_facility_hygiene_problem,SORUN_HIJYEN,"B30.2 Sağlık hizmeti aldığınız kuruluşlarla ilgili, temizlik/hijyen konusunda sorun var mı?",b30_2,1 Evet; 2 Hayır; 3 Fikrim yok,b30_2,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_HIJYEN,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_HIJYEN,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_HIJYEN,1 Evet; 2 Hayır; 3 Fikri yok
Health,healthcare_service_facing_issues,health_staff_adequacy_problem,SORUN_YETERLI_SGLKPERSONEL,"B30.6 Sağlık hizmeti aldığınız kuruluşlarla ilgili, doktor ve sağlık personeli sayısını yeterli buluyormusunuz?",b30_6,1 Evet; 2 Hayır; 3 Fikrim yok,b30_6,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_YETERLI_SGLKPERSONEL,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_YETERLI_SGLKPERSONEL,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_YETERLI_SGLKPERSONEL,1 Evet; 2 Hayır; 3 Fikri yok
Health,healthcare_service_facing_issues,medicine_price_problem,SORUN_ILAC_FIYAT,"B30.8 Sağlık hizmeti aldığınız kuruluşlarla ilgili, ilaç fiyatlarında sorun görüyor musunuz?",b30_8,1 Evet; 2 Hayır; 3 Fikrim yok,b30_8,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_ILAC_FIYAT,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_ILAC_FIYAT,1 Evet; 2 Hayır; 3 Fikri yok,SORUN_ILAC_FIYAT,1 Evet; 2 Hayır; 3 Fikri yok
